Family;SOEL;AEL;PEMEL;AEMEL;SOEL;AEL;PEMEL;AEMEL;SOEL;AEL;PEMEL;AEMEL;-- Select --
TRL;Operational (TRL>7);Operational (TRL>7);Operational (TRL>7);Operational (TRL>7);State-of-the-Art (TRL<7);State-of-the-Art (TRL<7);State-of-the-Art (TRL<7);State-of-the-Art (TRL<7);Target 2050;Target 2050;Target 2050;Target 2050;
Active_Surface [m2];0.01;1;0.07;0.01;0.04;2;0.3;0.03;0.1;4.2;0.9;0.09;
cell_per_stack [unit];433;166;263;208;433;166;263;208;433;166;263;208;
Degradation_rate [%];1.9;0.16;0.2;1;0.67;0.13;0.16;0.6;0.12;0.13;0.13;0.5;
Degradation Max;41.8;8;10.4;9;26.7;10;10.3;13;9.6;13;14.3;50;
recycling rate metal [-];0.5;0.5;0.5;0.5;0.7;0.7;0.7;0.7;0.9;0.9;0.9;0.9;
thickness_hydrogen [um];1000;1000;300;1000;600;750;250;600;300;300;200;200;
ratioS_hydrogen;1.4;1;1.1;1;1.2;1;1;1;1;1;1;1;
material_hydrogen;NiO-YSZ;Nickel Perforated;Carbon Paper;Carbon Paper;NiO-YSZ;Nickel Perforated;Carbon Paper;Carbon Paper;NiO-YSZ;Nickel Perforated;Carbon Paper;Carbon Paper;
add_he;[];['load',30,'NiMo'];['load',1.15,'Pt/C'];['load',1.,'Pt/C'];[];['load',15,'NiMo'];['load',0.4,'Pt/C'];['load',0.5,'Pt/C'];[];['load',4,'NiMo'];['load',0.05,'Pt/C'];['load',0.2,'Pt/C'];
thickness_oxygen [um];70;1000;1000;1000;50;360;350;700;10;50;300;275;
ratioS_oxygen;1.5;1;1.1;1;1;1;1;1;1;1;1;1;
material_oxygen;LSM;Nickel Perforated;Titanium Felt (30% porosity) - IrO2;Nickel Foam;LSM;Nickel Perforated;Titanium Felt (30% porosity) - IrO2;Nickel Foam;LSM;Nickel Perforated;Titanium Felt (50% porosity);Nickel Foam;
