Family;SOFC;PEMFC;AEMFC;AFC;PEMFC_auto;SOFC;PEMFC;AEMFC;AFC;PEMFC_auto;SOFC;PEMFC;AEMFC;AFC;PEMFC_auto;-- Select --
Baseline;Present;Present;Present;Present;Present;State-of-the-Art;State-of-the-Art;State-of-the-Art;State-of-the-Art;State-of-the-Art;Target 2050;Target 2050;Target 2050;Target 2050;Target 2050;
Active_Surface [m2];0.01;0.02;0.044;0.02;0.015;0.04;0.03;0.044;0.0465;0.023;0.1;0.04;0.044;0.07;0.2;
cell_per_stack [unit];433;532;646;36;381;433;532;646;36;381;433;532;646;36;381;
Degradation_rate [%];1.74;1.6;2.2;3.1;4.2;0.7;0.32;1;0.87;4;0.2;0.4;1;0.37;3.5;
Degradation Max;32;25;11;14.6;16;48;6.5;10;6;18;16;32;30;3.7;27;
recycling rate metal [-];0.5;0.5;0.5;0.5;0.5;0.7;0.7;0.7;0.7;0.7;0.9;0.9;0.9;0.9;0.9;
thickness_hydrogen [um];1000;400;450;550;400;600;300;350;400;300;300;200;180;300;200;
ratioS_hydrogen;1.4;1.6;1;1;1.6;1.2;1.3;1;1;1.3;1;1;1;1;1;
material_hydrogen;NiO-YSZ;Carbon Paper;Carbon Paper;Nickel Perforated;Carbon Paper;NiO-YSZ;Carbon Paper;Carbon Paper;Nickel Perforated;Carbon Paper;NiO-YSZ;Carbon Paper;Carbon Paper;Nickel Perforated;Carbon Paper;
add_he;[];['load',0.3,'Pt/C'];['load',0.5,'Pt/C'];['load',120,'Raney Nickel'];['load',0.3,'Pt/C'];[];['load',0.2,'Pt/C'];['load',0.2,'Pt/C'];['load',100,'Raney Nickel'];['load',0.2,'Pt/C'];[];['load',0.1,'Pt/C'];['load',0.08,'Pt/C'];['load',70,'Raney Nickel'];['load',0.1,'Pt/C'];
thickness_oxygen [um];70;400;450;550;400;50;300;350;400;300;10;200;180;300;200;
ratioS_oxygen;1.5;1.6;1;1;1.6;1;1.3;1;1;1.3;1;1;1;1;1;
material_oxygen;LSM;Carbon Paper;Carbon Paper;Nickel Perforated;Carbon Paper;LSM;Carbon Paper;Carbon Paper;Nickel Perforated;Carbon Paper;LSM;Carbon Paper;Carbon Paper;Nickel Perforated;Carbon Paper;
add_oe;[];['load',0.3,'Pt/C'];['load',0.5,'Pt/C'];['load',60,'Silver'];['load',0.3,'Pt/C'];[];['load',0.2,'Pt/C'];['load',0.2,'Pt/C'];['load',60,'Silver'];['load',0.2,'Pt/C'];[];['load',0.1,'Pt/C'];['load',0.08,'Pt/C'];['load',60,'Silver'];['load',0.1,'Pt/C'];
thickness_barrier [um];10;0;0;0;0;5;0;0;0;0;1.5;0;0;0;0;
ratioS_barrier;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
material_barrier;GDC;-- Not concerned --;-- Not concerned --;-- Not concerned --;-- Not concerned --;GDC;-- Not concerned --;-- Not concerned --;-- Not concerned --;-- Not concerned --;GDC;-- Not concerned --;-- Not concerned --;-- Not concerned --;-- Not concerned --;
add_bp;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
thickness_contact [um];40;0;0;0;0;25;0;0;0;0;10;0;0;0;0;
ratioS_contact;1.1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
